Category,Precision,Recall,F1-Score,Support,Experiment
Facts,0.6897,0.9701,0.8062,401.0,Llama-3-8B_Zero-Shot
Issue,0.4074,0.4074,0.4074,27.0,Llama-3-8B_Zero-Shot
Rule/Law/Holding,0.3846,0.2941,0.3333,34.0,Llama-3-8B_Zero-Shot
Analysis,0.1667,0.0217,0.0385,92.0,Llama-3-8B_Zero-Shot
Conclusion,0.6429,0.1552,0.25,58.0,Llama-3-8B_Zero-Shot
Others,0.5,0.0571,0.1026,35.0,Llama-3-8B_Zero-Shot
Facts,0.9742,0.5661,0.7161,401.0,Llama-3-8B_Few-Shot
Issue,1.0,0.037,0.0714,27.0,Llama-3-8B_Few-Shot
Rule/Law/Holding,0.2889,0.3824,0.3291,34.0,Llama-3-8B_Few-Shot
Analysis,0.6296,0.1848,0.2857,92.0,Llama-3-8B_Few-Shot
Conclusion,0.6667,0.069,0.125,58.0,Llama-3-8B_Few-Shot
Others,0.1015,0.9714,0.1838,35.0,Llama-3-8B_Few-Shot
Facts,0.9243,0.8529,0.8872,401.0,Llama-3-8B_Chain-of-Thought
Issue,0.6452,0.7407,0.6897,27.0,Llama-3-8B_Chain-of-Thought
Rule/Law/Holding,0.3659,0.8824,0.5172,34.0,Llama-3-8B_Chain-of-Thought
Analysis,0.5385,0.6087,0.5714,92.0,Llama-3-8B_Chain-of-Thought
Conclusion,0.8788,0.5,0.6374,58.0,Llama-3-8B_Chain-of-Thought
Others,0.5185,0.4,0.4516,35.0,Llama-3-8B_Chain-of-Thought
Facts,0.6159,0.8878,0.7273,401.0,Qwen3-Thinking_Zero-Shot
Issue,0.125,0.037,0.0571,27.0,Qwen3-Thinking_Zero-Shot
Rule/Law/Holding,0.3,0.0882,0.1364,34.0,Qwen3-Thinking_Zero-Shot
Analysis,0.0,0.0,0.0,92.0,Qwen3-Thinking_Zero-Shot
Conclusion,0.5,0.0172,0.0333,58.0,Qwen3-Thinking_Zero-Shot
Others,0.0513,0.0571,0.0541,35.0,Qwen3-Thinking_Zero-Shot
Facts,0.6614,0.7307,0.6943,401.0,Qwen3-Thinking_Few-Shot
Issue,0.1389,0.1852,0.1587,27.0,Qwen3-Thinking_Few-Shot
Rule/Law/Holding,0.1795,0.2059,0.1918,34.0,Qwen3-Thinking_Few-Shot
Analysis,0.1333,0.0435,0.0656,92.0,Qwen3-Thinking_Few-Shot
Conclusion,0.5,0.1207,0.1944,58.0,Qwen3-Thinking_Few-Shot
Others,0.0353,0.0857,0.05,35.0,Qwen3-Thinking_Few-Shot
Facts,0.6125,0.8554,0.7138,401.0,Qwen3-Thinking_Chain-of-Thought
Issue,0.0909,0.037,0.0526,27.0,Qwen3-Thinking_Chain-of-Thought
Rule/Law/Holding,0.3077,0.1176,0.1702,34.0,Qwen3-Thinking_Chain-of-Thought
Analysis,0.0,0.0,0.0,92.0,Qwen3-Thinking_Chain-of-Thought
Conclusion,0.25,0.0172,0.0323,58.0,Qwen3-Thinking_Chain-of-Thought
Others,0.0192,0.0286,0.023,35.0,Qwen3-Thinking_Chain-of-Thought
Facts,0.8129,0.6608,0.729,401.0,SaulLM-7B_Zero-Shot
Issue,0.3269,0.6296,0.4304,27.0,SaulLM-7B_Zero-Shot
Rule/Law/Holding,0.1759,0.5588,0.2676,34.0,SaulLM-7B_Zero-Shot
Analysis,0.375,0.0978,0.1552,92.0,SaulLM-7B_Zero-Shot
Conclusion,0.6957,0.2759,0.3951,58.0,SaulLM-7B_Zero-Shot
Others,0.0965,0.3143,0.1477,35.0,SaulLM-7B_Zero-Shot
Facts,0.9813,0.2618,0.4134,401.0,SaulLM-7B_Few-Shot
Issue,0.0,0.0,0.0,27.0,SaulLM-7B_Few-Shot
Rule/Law/Holding,0.0,0.0,0.0,34.0,SaulLM-7B_Few-Shot
Analysis,0.0,0.0,0.0,92.0,SaulLM-7B_Few-Shot
Conclusion,0.0,0.0,0.0,58.0,SaulLM-7B_Few-Shot
Others,0.0648,1.0,0.1217,35.0,SaulLM-7B_Few-Shot
Facts,0.9316,0.4414,0.599,401.0,SaulLM-7B_Chain-of-Thought
